province,year,gdp_per_capita_CNY,population_persons
广东,2018,63537.2,124374645
江苏,2018,87611.5,83650117
山东,2018,52064.9,100212346
浙江,2018,72333.4,63732012
河南,2018,40006.8,98080379
四川,2018,41985.4,82584133
福建,2018,76399.0,41000895
湖北,2018,54377.3,57000522
湖南,2018,45456.8,65577743
上海,2018,112485.4,24547238
安徽,2018,45814.6,60237954
河北,2018,35078.8,73641713
北京,2018,119219.5,21605912
陕西,2018,47876.9,39016981
江西,2018,41096.6,44603525
重庆,2018,56391.5,31634056
辽宁,2018,42626.1,42037268
云南,2018,37546.7,46597310
广西,2018,31949.4,49479414
山西,2018,36540.1,34466809
内蒙古,2018,52177.6,23737880
贵州,2018,33418.8,38059569
天津,2018,73400.6,13689995
黑龙江,2018,31090.6,31436651
新疆,2018,38581.0,25514519
吉林,2018,36971.5,23757620
甘肃,2018,26051.0,24695291
海南,2018,39670.8,9949182
宁夏,2018,39365.4,7106559
青海,2018,36704.3,5843170
西藏,2018,37687.4,3602630
广东,2019,66795.6,124755103
江苏,2019,92104.5,83905999
山东,2019,54735.0,100518892
浙江,2019,76043.0,63926966
河南,2019,42058.5,98380403
四川,2019,44138.6,82836755
福建,2019,80317.0,41126315
湖北,2019,57166.0,57174884
湖南,2019,47788.0,65778343
上海,2019,118254.1,24622327
安徽,2019,48164.2,60422220
河北,2019,36877.8,73866981
北京,2019,125333.6,21672004
陕西,2019,50332.2,39136332
江西,2019,43204.2,44739966
重庆,2019,59283.5,31730823
辽宁,2019,44812.1,42165859
云南,2019,39472.2,46739849
广西,2019,33587.9,49630770
山西,2019,38414.0,34572242
内蒙古,2019,54853.5,23810493
贵州,2019,35132.7,38175992
天津,2019,77164.8,13731873
黑龙江,2019,32685.1,31532815
新疆,2019,40559.6,25592567
吉林,2019,38867.6,23830294
甘肃,2019,27387.0,24770833
海南,2019,41705.3,9979616
宁夏,2019,41384.2,7128297
青海,2019,38586.7,5861044
西藏,2019,39620.1,3613651
广东,2020,70054.7,125136724
江苏,2020,96598.5,84162665
山东,2020,57405.6,100826376
浙江,2020,79753.2,64122516
河南,2020,44110.6,98681345
四川,2020,46292.2,83090149
福建,2020,84235.8,41252119
湖北,2020,59955.2,57349780
湖南,2020,50119.7,65979557
上海,2020,124024.0,24697646
安徽,2020,50514.2,60607049
河北,2020,38677.2,74092937
北京,2020,131448.8,21738298
陕西,2020,52788.0,39256049
江西,2020,45312.2,44876824
重庆,2020,62176.1,31827887
辽宁,2020,46998.6,42294842
云南,2020,41398.2,46882825
广西,2020,35226.7,49782589
山西,2020,40288.3,34677997
内蒙古,2020,57529.9,23883328
贵州,2020,36846.9,38292771
天津,2020,80929.9,13773878
黑龙江,2020,34279.8,31629273
新疆,2020,42538.6,25670854
吉林,2020,40764.0,23903190
甘肃,2020,28723.3,24846606
海南,2020,43740.2,10010143
