province,region,delta,warm_factor_f,source_note
北京,东部,-0.191,1.42,华北偏北
天津,东部,-0.191,1.42,华北偏北
河北,东部,-0.191,1.42,华北
山东,东部,-0.191,1.40,华北
上海,东部,-0.191,1.30,沿海
江苏,东部,-0.191,1.32,沿海偏北
浙江,东部,-0.191,1.28,沿海
福建,东部,-0.191,1.22,东南沿海(升温较慢)
广东,东部,-0.191,1.20,华南(升温最慢)
海南,东部,-0.191,1.15,华南最南(升温最慢)
山西,中部,-0.191,1.45,近西北
河南,中部,-0.191,1.38,华中偏北
安徽,中部,-0.191,1.33,华中
湖北,中部,-0.191,1.32,华中
湖南,中部,-0.191,1.28,华中偏南
江西,中部,-0.191,1.26,华中偏南
辽宁,东北,-0.191,1.48,东北(升温快)
吉林,东北,-0.191,1.52,东北(升温快)
黑龙江,东北,-0.191,1.55,东北高纬(升温最快)
西藏,西南,-0.191,1.55,青藏高原(高海拔放大)
四川,西南,-0.191,1.30,西南
重庆,西南,-0.191,1.28,西南
贵州,西南,-0.191,1.24,西南偏南
云南,西南,-0.191,1.22,西南偏南(升温较慢)
广西,西南,-0.191,1.20,华南(升温最慢)
内蒙古,西北,-0.191,1.55,北方高纬(升温最快)
陕西,西北,-0.191,1.45,西北
甘肃,西北,-0.191,1.52,西北(升温快)
宁夏,西北,-0.191,1.52,西北(升温快)
青海,西北,-0.191,1.55,青藏边缘(升温最快)
新疆,西北,-0.191,1.58,西北高纬(升温最快)
# delta：DJO 损害系数。中国所有省份在 DJO(Dell-Jones-Olken 2012)口径下均属"developing/poor"区间，统一取 -0.191
#        （Wang 2022 §5"The coefficient used in this study is -0.191"；"0 for wealthy"仅指 OECD 富国，不含任何中国省份）
# warm_factor_f：该省 RCP6.0 增温 ÷ 全球平均增温。锚定 CMIP5 文献——中国陆地均值≈1.38-1.40×全球，
#        空间格局"由南向北加强、青藏高原放大、西北/东北最快、华南最慢"(Zhou et al. 2019, Sci.Rep.; 胡芩等)
