排放年,"Ramsey(ρ0.692,η1.07)",fix2.5%,fix3%,fix4.5%,fix5%,"Ricke默认(prtp2,η1.5)",Ramsey_CNY/tCO2
2025,84.73,111.76,80.63,35.82,28.67,25.29,573.6
2026,88.6,113.08,81.62,36.31,29.08,26.71,599.8
2027,92.68,114.39,82.61,36.79,29.49,28.22,627.4
2028,96.98,115.71,83.6,37.28,29.89,29.82,656.6
2029,100.87,117.03,84.58,37.76,30.29,31.28,682.9
2030,104.25,118.33,85.55,38.23,30.68,32.55,705.8
2031,107.07,119.62,86.51,38.68,31.05,33.6,724.9
2032,109.28,120.89,87.46,39.13,31.42,34.41,739.8
2033,110.82,122.14,88.39,39.58,31.79,34.95,750.2
2034,112.41,123.38,89.32,40.02,32.15,35.51,761.0
2035,114.07,124.63,90.25,40.46,32.51,36.1,772.3
2036,115.8,125.88,91.17,40.9,32.88,36.72,783.9
2037,117.59,127.13,92.1,41.34,33.24,37.35,796.1
2038,119.44,128.39,93.03,41.78,33.6,38.02,808.6
2039,121.37,129.65,93.96,42.22,33.96,38.7,821.7
2040,123.36,130.91,94.9,42.66,34.32,39.42,835.1
2041,125.42,132.18,95.83,43.11,34.68,40.16,849.1
2042,127.55,133.45,96.77,43.55,35.04,40.92,863.5
2043,129.76,134.73,97.71,43.99,35.41,41.72,878.5
2044,132.03,136.0,98.66,44.44,35.77,42.54,893.9
2045,134.39,137.29,99.6,44.88,36.13,43.39,909.8
2046,136.81,138.58,100.56,45.33,36.5,44.26,926.2
2047,139.32,139.87,101.51,45.78,36.87,45.17,943.2
2048,141.9,141.17,102.47,46.23,37.24,46.1,960.7
2049,144.21,142.47,103.43,46.68,37.61,46.92,976.3
2050,146.24,143.77,104.39,47.13,37.98,47.62,990.0
2051,147.95,145.07,105.35,47.58,38.35,48.19,1001.6
2052,149.35,146.36,106.3,48.03,38.71,48.62,1011.1
2053,150.42,147.65,107.26,48.48,39.08,48.91,1018.4
2054,151.52,148.94,108.21,48.93,39.45,49.21,1025.8
2055,152.66,150.24,109.17,49.38,39.82,49.52,1033.5
2056,153.84,151.54,110.13,49.84,40.19,49.84,1041.5
2057,155.06,152.85,111.1,50.29,40.57,50.18,1049.7
2058,156.32,154.16,112.07,50.76,40.94,50.52,1058.3
2059,157.62,155.47,113.04,51.22,41.32,50.88,1067.1
2060,158.97,156.79,114.02,51.69,41.71,51.24,1076.2
2061,160.36,158.11,115.0,52.16,42.09,51.63,1085.7
2062,161.81,159.44,115.99,52.63,42.48,52.02,1095.4
2063,163.3,160.77,116.98,53.1,42.87,52.44,1105.5
2064,164.84,162.1,117.97,53.58,43.26,52.86,1116.0
2065,166.44,163.44,118.96,54.06,43.65,53.3,1126.8
2066,168.08,164.77,119.96,54.54,44.05,53.76,1137.9
2067,169.79,166.11,120.96,55.03,44.44,54.24,1149.5
2068,171.55,167.46,121.96,55.51,44.84,54.73,1161.4
2069,173.37,168.8,122.96,56.0,45.25,55.24,1173.7
2070,175.24,170.15,123.97,56.5,45.65,55.77,1186.4
2071,177.18,171.5,124.98,56.99,46.06,56.31,1199.5
2072,179.18,172.85,125.99,57.49,46.46,56.88,1213.1
2073,181.24,174.2,127.0,57.99,46.87,57.46,1227.0
2074,183.36,175.56,128.02,58.49,47.29,58.07,1241.4
2075,185.55,176.91,129.03,58.99,47.7,58.7,1256.2
2076,187.81,178.27,130.05,59.49,48.11,59.35,1271.5
2077,190.15,179.62,131.07,60.0,48.53,60.02,1287.3
2078,192.56,180.98,132.08,60.51,48.95,60.72,1303.6
2079,195.05,182.33,133.1,61.01,49.37,61.45,1320.5
2080,197.62,183.69,134.12,61.52,49.79,62.2,1337.9
2081,200.27,185.04,135.14,62.04,50.21,62.97,1355.8
2082,203.01,186.4,136.16,62.55,50.63,63.77,1374.4
2083,205.83,187.75,137.18,63.06,51.05,64.59,1393.5
2084,208.75,189.1,138.2,63.58,51.47,65.44,1413.2
2085,211.76,190.45,139.22,64.09,51.9,66.32,1433.6
2086,214.88,191.8,140.24,64.61,52.32,67.24,1454.8
2087,218.12,193.15,141.26,65.13,52.75,68.2,1476.7
2088,221.47,194.5,142.28,65.64,53.17,69.2,1499.3
2089,224.93,195.84,143.3,66.16,53.6,70.24,1522.7
2090,228.5,197.18,144.31,66.68,54.03,71.32,1547.0
2091,232.2,198.52,145.33,67.19,54.46,72.45,1572.0
2092,236.03,199.85,146.34,67.71,54.89,73.62,1597.9
2093,239.98,201.19,147.35,68.22,55.31,74.82,1624.7
2094,244.08,202.52,148.36,68.74,55.74,76.08,1652.4
2095,248.32,203.84,149.37,69.26,56.17,77.38,1681.1
2096,252.7,205.16,150.38,69.78,56.6,78.73,1710.8
2097,257.25,206.48,151.38,70.29,57.03,80.13,1741.6
2098,261.95,207.8,152.38,70.81,57.46,81.59,1773.4
2099,266.83,209.11,153.37,71.33,57.89,83.12,1806.4
2100,271.88,210.42,154.37,71.84,58.32,84.7,1840.6
