排放年,"Ramsey(ρ0.692,η1.07)",fix2.5%,fix3%,fix4.5%,fix5%,"Ricke默认(prtp2,η1.5)",Ramsey_CNY/tCO2
2026,81.91,95.65,70.78,33.81,27.61,25.31,554.6
2027,85.56,96.13,71.16,34.1,27.85,26.68,579.2
2028,89.08,96.58,71.52,34.37,28.09,28.02,603.1
2029,92.47,97.01,71.86,34.63,28.31,29.31,626.0
2030,95.7,97.42,72.19,34.87,28.52,30.54,647.9
2031,98.77,97.8,72.5,35.09,28.73,31.72,668.7
2032,101.69,98.16,72.8,35.3,28.92,32.84,688.5
2033,104.5,98.49,73.07,35.5,29.1,33.92,707.4
2034,107.21,98.8,73.34,35.7,29.27,34.96,725.8
2035,109.85,99.09,73.59,35.89,29.43,35.98,743.7
2036,112.45,99.37,73.83,36.07,29.59,36.98,761.3
2037,115.0,99.64,74.06,36.25,29.75,37.97,778.5
2038,117.5,99.89,74.28,36.41,29.9,38.94,795.5
2039,119.98,100.13,74.48,36.57,30.04,39.9,812.2
2040,122.41,100.36,74.68,36.71,30.17,40.85,828.7
2041,124.82,100.59,74.86,36.84,30.3,41.78,845.0
2042,127.18,100.79,75.04,36.97,30.42,42.7,861.0
2043,129.48,100.98,75.21,37.09,30.53,43.59,876.6
2044,131.72,101.16,75.37,37.2,30.64,44.46,891.8
2045,133.89,101.34,75.52,37.3,30.75,45.29,906.4
2046,135.97,101.5,75.66,37.41,30.84,46.09,920.5
2047,137.97,101.66,75.8,37.5,30.93,46.85,934.0
2048,139.87,101.81,75.93,37.59,31.02,47.57,946.9
2049,141.67,101.96,76.05,37.67,31.1,48.24,959.1
2050,143.38,102.1,76.17,37.75,31.17,48.88,970.7
