排放年,Ramsey_USD2010_per_tCO2,Ramsey_CNY2025_per_tCO2
2025,84.73,894.22
2026,88.60,935.06
2027,92.68,978.12
2028,96.98,1023.50
2029,100.87,1064.55
2030,104.25,1100.22
2031,107.07,1129.99
2032,109.28,1153.31
2033,110.82,1169.56
2034,112.41,1186.34
2035,114.07,1203.86
2036,115.80,1222.12
2037,117.59,1241.01
2038,119.44,1260.53
2039,121.37,1280.90
2040,123.36,1301.91
2041,125.42,1323.65
2042,127.55,1346.13
2043,129.76,1369.45
2044,132.03,1393.41
2045,134.39,1418.31
2046,136.81,1443.85
2047,139.32,1470.34
2048,141.90,1497.57
2049,144.21,1521.95
2050,146.24,1543.37
2051,147.95,1561.42
2052,149.35,1576.20
2053,150.42,1587.49
2054,151.52,1599.10
2055,152.66,1611.13
2056,153.84,1623.58
2057,155.06,1636.46
2058,156.32,1649.76
2059,157.62,1663.48
2060,158.97,1677.72
2061,160.36,1692.39
2062,161.81,1707.70
2063,163.30,1723.42
2064,164.84,1739.67
2065,166.44,1756.56
2066,168.08,1773.87
2067,169.79,1791.91
2068,171.55,1810.49
2069,173.37,1829.70
2070,175.24,1849.43
2071,177.18,1869.91
2072,179.18,1891.01
2073,181.24,1912.75
2074,183.36,1935.13
2075,185.55,1958.24
2076,187.81,1982.09
2077,190.15,2006.79
2078,192.56,2032.22
2079,195.05,2058.50
2080,197.62,2085.62
2081,200.27,2113.59
2082,203.01,2142.51
2083,205.83,2172.27
2084,208.75,2203.09
2085,211.76,2234.85
2086,214.88,2267.78
2087,218.12,2301.97
2088,221.47,2337.33
2089,224.93,2373.85
2090,228.50,2411.52
2091,232.20,2450.57
2092,236.03,2490.99
2093,239.98,2532.68
2094,244.08,2575.95
2095,248.32,2620.70
2096,252.70,2666.92
2097,257.25,2714.94
2098,261.95,2764.54
2099,266.83,2816.05
2100,271.88,2869.34
