排放年,"Ramsey(ρ0.692,η1.07)",fix2.5%,fix3%,fix4.5%,fix5%,"Ricke默认(prtp2,η1.5)",Ramsey_CNY/tCO2
2025,78.18,95.15,70.38,33.52,27.35,23.91,529.3
2026,81.91,95.65,70.78,33.81,27.61,25.31,554.6
2027,85.56,96.13,71.16,34.1,27.85,26.68,579.2
2028,89.08,96.58,71.52,34.37,28.09,28.02,603.1
2029,92.47,97.01,71.86,34.63,28.31,29.31,626.0
2030,95.7,97.42,72.19,34.87,28.52,30.54,647.9
2031,98.77,97.8,72.5,35.09,28.73,31.72,668.7
2032,101.69,98.16,72.8,35.3,28.92,32.84,688.5
2033,104.5,98.49,73.07,35.5,29.1,33.92,707.4
2034,107.21,98.8,73.34,35.7,29.27,34.96,725.8
2035,109.85,99.09,73.59,35.89,29.43,35.98,743.7
2036,112.45,99.37,73.83,36.07,29.59,36.98,761.3
2037,115.0,99.64,74.06,36.25,29.75,37.97,778.5
2038,117.5,99.89,74.28,36.41,29.9,38.94,795.5
2039,119.98,100.13,74.48,36.57,30.04,39.9,812.2
2040,122.41,100.36,74.68,36.71,30.17,40.85,828.7
2041,124.82,100.59,74.86,36.84,30.3,41.78,845.0
2042,127.18,100.79,75.04,36.97,30.42,42.7,861.0
2043,129.48,100.98,75.21,37.09,30.53,43.59,876.6
2044,131.72,101.16,75.37,37.2,30.64,44.46,891.8
2045,133.89,101.34,75.52,37.3,30.75,45.29,906.4
2046,135.97,101.5,75.66,37.41,30.84,46.09,920.5
2047,137.97,101.66,75.8,37.5,30.93,46.85,934.0
2048,139.87,101.81,75.93,37.59,31.02,47.57,946.9
2049,141.67,101.96,76.05,37.67,31.1,48.24,959.1
2050,143.38,102.1,76.17,37.75,31.17,48.88,970.7
2051,144.98,102.23,76.28,37.82,31.24,49.47,981.5
2052,146.51,102.36,76.39,37.89,31.31,50.02,991.8
2053,147.97,102.48,76.49,37.96,31.37,50.55,1001.8
2054,149.43,102.6,76.58,38.02,31.43,51.06,1011.6
2055,150.88,102.71,76.68,38.08,31.48,51.57,1021.4
2056,152.34,102.83,76.77,38.13,31.54,52.09,1031.4
2057,153.83,102.94,76.86,38.18,31.58,52.61,1041.4
2058,155.32,103.05,76.94,38.23,31.63,53.14,1051.5
2059,156.81,103.16,77.02,38.28,31.67,53.67,1061.6
2060,158.29,103.26,77.1,38.33,31.71,54.19,1071.6
2061,159.76,103.37,77.18,38.37,31.75,54.71,1081.6
2062,161.21,103.47,77.26,38.41,31.78,55.22,1091.4
2063,162.66,103.57,77.33,38.45,31.82,55.72,1101.2
2064,164.11,103.68,77.41,38.48,31.85,56.22,1111.0
2065,165.56,103.78,77.48,38.52,31.88,56.72,1120.8
2066,167.02,103.88,77.55,38.55,31.9,57.21,1130.7
2067,168.49,103.98,77.62,38.58,31.93,57.7,1140.6
2068,169.94,104.09,77.7,38.62,31.96,58.19,1150.5
2069,171.38,104.19,77.77,38.65,31.98,58.66,1160.2
2070,172.78,104.29,77.84,38.68,32.01,59.12,1169.7
2071,174.16,104.4,77.91,38.7,32.03,59.56,1179.1
2072,175.52,104.5,77.98,38.73,32.05,60.0,1188.3
2073,176.87,104.61,78.05,38.76,32.07,60.42,1197.4
2074,178.24,104.72,78.12,38.79,32.09,60.86,1206.7
2075,179.64,104.83,78.2,38.82,32.11,61.3,1216.2
2076,181.09,104.95,78.27,38.84,32.14,61.75,1226.0
2077,182.56,105.06,78.35,38.87,32.16,62.22,1236.0
2078,184.07,105.18,78.43,38.9,32.18,62.7,1246.1
2079,185.58,105.3,78.51,38.93,32.2,63.18,1256.4
2080,187.09,105.43,78.59,38.96,32.22,63.66,1266.6
2081,188.6,105.56,78.67,38.99,32.24,64.14,1276.8
2082,190.11,105.69,78.76,39.02,32.27,64.62,1287.0
2083,191.61,105.82,78.85,39.05,32.29,65.1,1297.2
2084,193.12,105.95,78.94,39.08,32.32,65.57,1307.4
2085,194.65,106.09,79.03,39.12,32.34,66.06,1317.8
2086,196.19,106.24,79.12,39.15,32.37,66.54,1328.2
2087,197.75,106.38,79.22,39.19,32.39,67.04,1338.8
2088,199.33,106.53,79.32,39.22,32.42,67.53,1349.4
2089,200.91,106.68,79.42,39.26,32.44,68.03,1360.2
2090,202.51,106.84,79.53,39.3,32.47,68.52,1371.0
2091,204.11,107.0,79.63,39.34,32.5,69.02,1381.8
2092,205.72,107.16,79.74,39.38,32.53,69.52,1392.7
2093,207.34,107.33,79.85,39.42,32.56,70.03,1403.7
2094,208.98,107.5,79.97,39.47,32.59,70.53,1414.8
2095,210.62,107.67,80.08,39.51,32.63,71.05,1425.9
2096,212.28,107.85,80.2,39.56,32.66,71.57,1437.2
2097,213.96,108.03,80.33,39.61,32.69,72.09,1448.5
2098,215.66,108.21,80.45,39.65,32.73,72.62,1460.0
2099,217.37,108.39,80.58,39.7,32.77,73.15,1471.6
2100,219.11,108.58,80.71,39.76,32.8,73.69,1483.4
