year,Ramsey_CNYperTCO2,fix2.5%,fix3%,fix4.5%,fix5%,Ramsey_USDperTC
2026,100.66,118.65,96.68,59.11,51.81,53.49
2027,103.81,120.04,97.98,60.14,52.75,55.16
2028,106.83,121.41,99.26,61.14,53.67,56.77
2029,109.73,122.75,100.52,62.13,54.59,58.31
2030,112.46,124.06,101.76,63.1,55.48,59.76
2031,115.09,125.35,102.98,64.06,56.37,61.16
2032,117.52,126.61,104.17,65.01,57.24,62.45
2033,119.81,127.86,105.35,65.94,58.11,63.67
2034,121.93,129.08,106.52,66.87,58.96,64.8
2035,124.04,130.28,107.66,67.78,59.8,65.92
2036,126.04,131.46,108.8,68.69,60.64,66.98
2037,127.93,132.63,109.91,69.59,61.47,67.98
2038,129.69,133.77,111.02,70.48,62.29,68.92
2039,131.49,134.9,112.11,71.36,63.11,69.87
2040,133.23,136.01,113.18,72.24,63.92,70.8
2041,134.89,137.1,114.24,73.11,64.73,71.68
2042,136.45,138.18,115.29,73.97,65.53,72.51
2043,138.0,139.23,116.33,74.83,66.32,73.33
2044,139.5,140.27,117.35,75.68,67.11,74.13
2045,140.95,141.29,118.36,76.52,67.89,74.9
2046,142.34,142.3,119.35,77.36,68.67,75.64
2047,143.72,143.28,120.33,78.19,69.44,76.37
2048,145.01,144.25,121.3,79.01,70.21,77.06
2049,146.23,145.2,122.26,79.83,70.98,77.7
2050,147.35,146.13,123.2,80.64,71.74,78.3
