year,ramsey_CNYperTCO2,r2.5%,r3%,r4.5%,r5%,ramsey_USDperTC
2026,473.17,1020.88,876.31,586.64,521.98,251.44
2027,504.63,1031.71,887.65,597.6,532.53,268.16
2028,535.89,1042.1,898.64,608.35,542.91,284.77
2029,566.83,1052.05,909.24,618.87,553.1,301.22
2030,597.36,1061.54,919.45,629.16,563.09,317.44
2031,531.52,1070.54,929.25,639.19,572.87,282.45
2032,562.7,1079.04,938.61,648.95,582.4,299.02
2033,593.32,1086.97,947.48,658.37,591.64,315.29
2034,623.29,1094.34,955.85,667.45,600.57,331.22
2035,652.53,1101.12,963.7,676.18,609.19,346.75
2036,680.94,1107.32,971.03,684.54,617.49,361.85
2037,708.47,1112.92,977.83,692.53,625.45,376.48
2038,735.06,1117.92,984.1,700.15,633.07,390.61
2039,760.64,1122.32,989.83,707.38,640.36,404.21
2040,785.2,1126.13,995.03,714.24,647.31,417.25
2041,820.5,1129.36,999.72,720.74,653.93,436.01
2042,842.54,1132.04,1003.92,726.91,660.27,447.72
2043,863.49,1134.18,1007.63,732.75,666.31,458.86
2044,883.33,1135.76,1010.85,738.24,672.06,469.4
2045,902.03,1136.78,1013.56,743.39,677.5,479.34
2046,919.59,1137.23,1015.77,748.19,682.62,488.67
2047,935.97,1137.12,1017.47,752.63,687.43,497.37
2048,951.16,1136.43,1018.64,756.71,691.92,505.45
2049,965.17,1135.16,1019.3,760.41,696.09,512.89
2050,977.97,1133.31,1019.42,763.74,699.92,519.69
