排放年,广东,江苏,浙江,山东,河南,四川,湖北,湖南,福建,安徽,河北,上海,北京,陕西,江西,辽宁,重庆,云南,广西,贵州,山西,内蒙古,天津,新疆,黑龙江,吉林,甘肃,海南,宁夏,青海,西藏
2025,10.91,9.98,6.54,7.24,5.56,4.79,4.29,4.12,4.28,3.82,3.6,3.81,3.56,2.58,2.53,2.48,2.47,2.42,2.19,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2026,10.9,9.95,6.57,7.24,5.58,4.79,4.29,4.12,4.27,3.82,3.6,3.81,3.56,2.58,2.53,2.48,2.47,2.42,2.19,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2027,10.9,9.91,6.6,7.25,5.61,4.79,4.28,4.12,4.26,3.81,3.6,3.81,3.56,2.58,2.53,2.48,2.47,2.42,2.19,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2028,10.89,9.88,6.63,7.25,5.63,4.79,4.28,4.12,4.25,3.81,3.61,3.81,3.56,2.58,2.53,2.48,2.47,2.42,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2029,10.89,9.84,6.66,7.25,5.66,4.79,4.28,4.12,4.24,3.81,3.61,3.8,3.56,2.58,2.53,2.48,2.46,2.42,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2030,10.88,9.81,6.7,7.26,5.68,4.79,4.28,4.12,4.23,3.81,3.62,3.8,3.56,2.58,2.53,2.48,2.46,2.42,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2031,10.87,9.78,6.73,7.26,5.7,4.79,4.28,4.12,4.22,3.81,3.62,3.8,3.56,2.58,2.53,2.47,2.46,2.42,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.55,0.39,0.3,0.19
2032,10.87,9.74,6.76,7.26,5.73,4.79,4.28,4.12,4.2,3.81,3.62,3.8,3.56,2.58,2.53,2.47,2.46,2.42,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2033,10.86,9.71,6.79,7.27,5.75,4.79,4.28,4.12,4.19,3.81,3.63,3.79,3.56,2.58,2.53,2.47,2.46,2.42,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2034,10.86,9.68,6.82,7.27,5.78,4.79,4.28,4.11,4.18,3.81,3.63,3.79,3.55,2.58,2.53,2.47,2.46,2.41,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2035,10.85,9.64,6.85,7.27,5.8,4.78,4.28,4.11,4.17,3.81,3.63,3.79,3.55,2.58,2.53,2.47,2.46,2.41,2.18,1.76,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2036,10.84,9.61,6.88,7.27,5.83,4.78,4.28,4.11,4.16,3.81,3.64,3.79,3.55,2.58,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2037,10.84,9.58,6.92,7.28,5.85,4.78,4.27,4.11,4.15,3.81,3.64,3.79,3.55,2.58,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2038,10.83,9.54,6.95,7.28,5.88,4.78,4.27,4.11,4.14,3.81,3.65,3.78,3.55,2.58,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2039,10.83,9.51,6.98,7.28,5.9,4.78,4.27,4.11,4.13,3.8,3.65,3.78,3.55,2.58,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.39,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2040,10.82,9.48,7.01,7.29,5.93,4.78,4.27,4.11,4.12,3.8,3.65,3.78,3.55,2.57,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.38,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2041,10.81,9.44,7.04,7.29,5.95,4.78,4.27,4.11,4.11,3.8,3.66,3.78,3.55,2.57,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.38,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2042,10.81,9.41,7.07,7.29,5.98,4.78,4.27,4.11,4.09,3.8,3.66,3.78,3.55,2.57,2.53,2.47,2.46,2.41,2.18,1.75,1.74,1.71,1.38,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2043,10.8,9.38,7.1,7.3,6.0,4.78,4.27,4.11,4.08,3.8,3.67,3.77,3.55,2.57,2.52,2.47,2.46,2.41,2.18,1.75,1.73,1.71,1.38,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
2044,10.8,9.34,7.14,7.3,6.03,4.77,4.27,4.1,4.07,3.8,3.67,3.77,3.55,2.57,2.52,2.47,2.46,2.41,2.18,1.75,1.73,1.71,1.38,1.36,1.35,1.21,0.89,0.54,0.39,0.3,0.19
