排放年,全国,广东,江苏,浙江,山东,河南,四川,湖北,湖南,福建,安徽,河北,上海,北京,陕西,江西,辽宁,重庆,云南,广西,贵州,山西,内蒙古,天津,新疆,黑龙江,吉林,甘肃,海南,宁夏,青海,西藏,全国_CNY@6.77
2025,84.73,9.244,8.455,5.54,6.134,4.708,4.063,3.632,3.493,3.628,3.234,3.047,3.23,3.018,2.189,2.148,2.1,2.09,2.05,1.852,1.49,1.476,1.451,1.177,1.153,1.145,1.029,0.754,0.462,0.328,0.251,0.159,573.6
2026,88.6,9.661,8.811,5.821,6.417,4.945,4.247,3.797,3.652,3.784,3.381,3.189,3.375,3.155,2.288,2.245,2.195,2.185,2.143,1.936,1.558,1.543,1.517,1.231,1.206,1.197,1.076,0.788,0.483,0.343,0.263,0.166,599.8
2027,92.68,10.1,9.186,6.119,6.715,5.195,4.442,3.971,3.819,3.948,3.536,3.34,3.529,3.3,2.393,2.348,2.296,2.285,2.241,2.025,1.629,1.613,1.587,1.287,1.261,1.252,1.125,0.824,0.506,0.358,0.275,0.174,627.4
2028,96.98,10.563,9.58,6.433,7.03,5.46,4.647,4.154,3.995,4.12,3.699,3.498,3.69,3.452,2.504,2.457,2.402,2.391,2.345,2.119,1.705,1.688,1.66,1.347,1.319,1.31,1.177,0.862,0.529,0.375,0.287,0.182,656.6
2029,100.87,10.981,9.93,6.722,7.315,5.704,4.832,4.32,4.154,4.274,3.846,3.643,3.836,3.59,2.603,2.555,2.497,2.486,2.438,2.203,1.773,1.755,1.726,1.4,1.372,1.362,1.224,0.897,0.55,0.39,0.299,0.189,682.9
2030,104.25,11.343,10.228,6.98,7.564,5.921,4.993,4.464,4.293,4.406,3.974,3.769,3.963,3.709,2.69,2.64,2.58,2.569,2.519,2.277,1.832,1.814,1.784,1.447,1.418,1.407,1.265,0.926,0.568,0.403,0.309,0.196,705.8
2031,107.07,11.643,10.469,7.203,7.772,6.108,5.127,4.583,4.408,4.513,4.081,3.875,4.067,3.809,2.762,2.711,2.65,2.638,2.587,2.338,1.881,1.862,1.831,1.486,1.456,1.445,1.299,0.951,0.584,0.414,0.317,0.201,724.9
2032,109.28,11.877,10.648,7.386,7.936,6.261,5.232,4.677,4.498,4.595,4.164,3.959,4.149,3.887,2.819,2.766,2.704,2.692,2.64,2.385,1.919,1.9,1.869,1.516,1.485,1.475,1.325,0.971,0.596,0.422,0.324,0.205,739.8
2033,110.82,12.038,10.761,7.525,8.051,6.377,5.304,4.742,4.56,4.647,4.222,4.019,4.205,3.941,2.858,2.804,2.741,2.729,2.676,2.418,1.946,1.927,1.895,1.537,1.506,1.495,1.344,0.984,0.604,0.428,0.328,0.208,750.3
2034,112.41,12.204,10.878,7.668,8.17,6.496,5.379,4.809,4.625,4.701,4.282,4.081,4.263,3.996,2.898,2.844,2.78,2.768,2.714,2.453,1.973,1.954,1.922,1.559,1.527,1.516,1.363,0.998,0.612,0.434,0.333,0.211,761.0
2035,114.07,12.377,11.001,7.817,8.295,6.621,5.457,4.879,4.692,4.758,4.344,4.146,4.324,4.054,2.94,2.885,2.82,2.808,2.754,2.488,2.002,1.982,1.949,1.582,1.549,1.538,1.382,1.013,0.621,0.44,0.338,0.214,772.3
2036,115.8,12.558,11.129,7.972,8.424,6.75,5.539,4.951,4.762,4.818,4.409,4.213,4.387,4.115,2.984,2.928,2.862,2.85,2.795,2.525,2.032,2.012,1.979,1.605,1.573,1.561,1.403,1.028,0.631,0.447,0.343,0.217,784.0
2037,117.59,12.745,11.261,8.132,8.558,6.883,5.623,5.027,4.835,4.879,4.476,4.283,4.452,4.178,3.03,2.973,2.906,2.893,2.837,2.564,2.063,2.043,2.009,1.63,1.596,1.585,1.425,1.043,0.64,0.454,0.348,0.22,796.1
2038,119.44,12.938,11.398,8.297,8.697,7.021,5.711,5.105,4.91,4.943,4.545,4.355,4.519,4.242,3.077,3.019,2.951,2.938,2.881,2.604,2.095,2.074,2.04,1.655,1.621,1.61,1.447,1.06,0.65,0.461,0.353,0.224,808.6
2039,121.37,13.14,11.542,8.47,8.841,7.165,5.802,5.186,4.988,5.009,4.618,4.43,4.59,4.31,3.126,3.067,2.998,2.985,2.927,2.645,2.128,2.107,2.072,1.681,1.647,1.635,1.47,1.076,0.66,0.468,0.359,0.227,821.7
2040,123.36,13.348,11.69,8.647,8.99,7.313,5.895,5.27,5.068,5.078,4.692,4.508,4.662,4.38,3.176,3.117,3.047,3.033,2.975,2.688,2.163,2.141,2.106,1.709,1.674,1.662,1.493,1.094,0.671,0.476,0.365,0.231,835.1
2041,125.42,13.563,11.843,8.831,9.144,7.466,5.992,5.357,5.152,5.149,4.77,4.588,4.738,4.452,3.228,3.168,3.097,3.083,3.024,2.732,2.198,2.177,2.141,1.737,1.701,1.689,1.518,1.112,0.682,0.483,0.371,0.235,849.1
2042,127.55,13.786,12.002,9.021,9.304,7.624,6.093,5.447,5.238,5.222,4.85,4.671,4.815,4.526,3.283,3.221,3.149,3.135,3.074,2.778,2.235,2.213,2.176,1.766,1.73,1.717,1.543,1.13,0.694,0.492,0.377,0.239,863.5
2043,129.76,14.017,12.166,9.218,9.469,7.788,6.197,5.54,5.328,5.298,4.933,4.757,4.896,4.604,3.339,3.276,3.203,3.188,3.127,2.825,2.273,2.251,2.214,1.796,1.759,1.747,1.57,1.15,0.705,0.5,0.383,0.243,878.5
2044,132.03,14.254,12.335,9.421,9.639,7.957,6.304,5.635,5.42,5.377,5.018,4.845,4.979,4.683,3.396,3.333,3.258,3.243,3.181,2.874,2.313,2.29,2.252,1.827,1.79,1.777,1.597,1.17,0.718,0.509,0.39,0.247,893.8
2045,134.39,14.501,12.51,9.631,9.816,8.133,6.415,5.735,5.515,5.458,5.106,4.937,5.065,4.766,3.456,3.392,3.315,3.301,3.237,2.925,2.353,2.33,2.292,1.859,1.821,1.808,1.625,1.19,0.73,0.518,0.397,0.251,909.8
2046,136.81,14.754,12.69,9.848,9.997,8.313,6.529,5.837,5.614,5.541,5.197,5.031,5.153,4.851,3.518,3.452,3.374,3.359,3.295,2.977,2.395,2.372,2.332,1.892,1.854,1.841,1.654,1.211,0.743,0.527,0.404,0.256,926.2
2047,139.32,15.016,12.876,10.072,10.185,8.5,6.648,5.943,5.715,5.627,5.291,5.129,5.245,4.939,3.581,3.514,3.436,3.42,3.354,3.031,2.439,2.415,2.375,1.927,1.887,1.874,1.684,1.233,0.757,0.536,0.411,0.26,943.2
2048,141.9,15.286,13.067,10.303,10.378,8.693,6.769,6.051,5.82,5.716,5.388,5.229,5.339,5.029,3.647,3.579,3.498,3.483,3.416,3.086,2.483,2.459,2.418,1.962,1.922,1.908,1.715,1.256,0.771,0.546,0.419,0.265,960.7
2049,144.21,15.526,13.231,10.516,10.552,8.87,6.878,6.148,5.913,5.793,5.474,5.32,5.422,5.11,3.706,3.636,3.555,3.539,3.471,3.136,2.523,2.498,2.457,1.993,1.953,1.939,1.742,1.276,0.783,0.555,0.425,0.269,976.3
2050,146.24,15.736,13.369,10.71,10.705,9.031,6.973,6.234,5.995,5.859,5.55,5.4,5.496,5.18,3.757,3.687,3.604,3.588,3.519,3.179,2.558,2.533,2.491,2.021,1.98,1.966,1.766,1.294,0.794,0.563,0.431,0.273,990.0
2051,147.95,15.911,13.475,10.882,10.835,9.173,7.053,6.305,6.064,5.911,5.614,5.469,5.557,5.24,3.8,3.729,3.645,3.629,3.559,3.216,2.587,2.562,2.52,2.044,2.002,1.988,1.787,1.309,0.803,0.569,0.436,0.276,1001.6
2052,149.35,16.053,13.553,11.032,10.942,9.297,7.118,6.363,6.12,5.95,5.666,5.527,5.606,5.288,3.835,3.763,3.679,3.662,3.592,3.245,2.611,2.586,2.543,2.063,2.021,2.007,1.803,1.321,0.81,0.574,0.44,0.279,1011.1
2053,150.42,16.159,13.6,11.158,11.025,9.401,7.168,6.408,6.162,5.976,5.705,5.572,5.643,5.325,3.862,3.789,3.704,3.688,3.617,3.268,2.629,2.604,2.56,2.077,2.035,2.02,1.816,1.33,0.816,0.578,0.443,0.281,1018.3
2054,151.52,16.268,13.648,11.287,11.111,9.507,7.219,6.453,6.206,6.003,5.746,5.619,5.681,5.363,3.889,3.816,3.731,3.714,3.642,3.291,2.648,2.622,2.579,2.092,2.049,2.035,1.829,1.339,0.822,0.582,0.447,0.283,1025.8
2055,152.66,16.381,13.7,11.42,11.199,9.617,7.271,6.5,6.251,6.032,5.788,5.667,5.72,5.402,3.917,3.844,3.758,3.741,3.669,3.315,2.667,2.641,2.597,2.107,2.064,2.05,1.842,1.349,0.828,0.587,0.45,0.285,1033.5
2056,153.84,16.498,13.754,11.556,11.291,9.729,7.326,6.549,6.298,6.062,5.831,5.717,5.761,5.442,3.947,3.873,3.786,3.769,3.697,3.34,2.687,2.661,2.617,2.123,2.08,2.065,1.856,1.359,0.834,0.591,0.453,0.287,1041.5
2057,155.06,16.62,13.811,11.697,11.386,9.845,7.382,6.599,6.347,6.092,5.876,5.768,5.804,5.484,3.977,3.903,3.815,3.798,3.725,3.366,2.708,2.681,2.637,2.139,2.096,2.081,1.87,1.37,0.84,0.596,0.457,0.289,1049.8
2058,156.32,16.746,13.871,11.841,11.483,9.964,7.441,6.651,6.397,6.125,5.922,5.821,5.847,5.528,4.009,3.934,3.845,3.828,3.754,3.392,2.729,2.703,2.658,2.156,2.112,2.097,1.885,1.381,0.847,0.6,0.46,0.291,1058.3
2059,157.62,16.876,13.934,11.989,11.584,10.086,7.501,6.705,6.449,6.158,5.97,5.876,5.893,5.572,4.041,3.965,3.876,3.859,3.785,3.42,2.752,2.725,2.679,2.174,2.13,2.114,1.9,1.392,0.854,0.605,0.464,0.294,1067.1
2060,158.97,17.011,14.0,12.141,11.688,10.211,7.563,6.761,6.503,6.194,6.02,5.932,5.94,5.619,4.075,3.999,3.909,3.891,3.816,3.448,2.774,2.747,2.702,2.192,2.147,2.132,1.916,1.403,0.861,0.61,0.468,0.296,1076.2
2061,160.36,17.15,14.069,12.298,11.795,10.34,7.628,6.819,6.558,6.23,6.071,5.99,5.988,5.667,4.11,4.033,3.942,3.924,3.849,3.478,2.798,2.771,2.725,2.211,2.166,2.15,1.932,1.415,0.868,0.615,0.472,0.299,1085.6
2062,161.81,17.295,14.142,12.46,11.907,10.474,7.695,6.879,6.616,6.269,6.125,6.051,6.039,5.717,4.146,4.068,3.977,3.959,3.883,3.508,2.823,2.795,2.749,2.23,2.185,2.169,1.949,1.428,0.876,0.621,0.476,0.301,1095.5
2063,163.3,17.444,14.217,12.626,12.022,10.611,7.764,6.941,6.675,6.308,6.18,6.113,6.091,5.768,4.183,4.105,4.013,3.995,3.918,3.54,2.848,2.82,2.774,2.25,2.204,2.189,1.967,1.441,0.884,0.626,0.48,0.304,1105.5
2064,164.84,17.599,14.296,12.796,12.141,10.752,7.836,7.005,6.737,6.35,6.237,6.177,6.145,5.821,4.221,4.142,4.049,4.031,3.954,3.573,2.874,2.846,2.799,2.271,2.225,2.209,1.985,1.454,0.892,0.632,0.485,0.307,1116.0
2065,166.44,17.76,14.379,12.973,12.264,10.897,7.91,7.071,6.8,6.393,6.296,6.243,6.201,5.876,4.262,4.182,4.088,4.07,3.991,3.606,2.902,2.873,2.826,2.292,2.246,2.23,2.004,1.468,0.9,0.638,0.489,0.31,1126.8
2066,168.08,17.925,14.465,13.153,12.39,11.046,7.986,7.139,6.866,6.437,6.357,6.311,6.258,5.933,4.303,4.222,4.127,4.109,4.03,3.641,2.93,2.901,2.853,2.314,2.267,2.251,2.023,1.482,0.909,0.644,0.494,0.313,1137.9
2067,169.79,18.097,14.555,13.341,12.522,11.201,8.066,7.21,6.934,6.484,6.42,6.382,6.318,5.992,4.345,4.264,4.168,4.15,4.07,3.677,2.959,2.93,2.881,2.337,2.29,2.274,2.043,1.497,0.918,0.651,0.499,0.316,1149.5
2068,171.55,18.274,14.648,13.533,12.657,11.359,8.147,7.283,7.005,6.533,6.485,6.455,6.38,6.053,4.389,4.307,4.211,4.192,4.111,3.715,2.989,2.959,2.91,2.361,2.313,2.297,2.064,1.512,0.927,0.657,0.504,0.319,1161.4
2069,173.37,18.458,14.746,13.731,12.797,11.523,8.232,7.359,7.077,6.583,6.552,6.53,6.444,6.116,4.435,4.352,4.254,4.235,4.154,3.753,3.02,2.99,2.941,2.386,2.337,2.32,2.085,1.527,0.937,0.664,0.509,0.322,1173.7
2070,175.24,18.646,14.846,13.934,12.941,11.691,8.319,7.437,7.152,6.635,6.621,6.607,6.51,6.18,4.482,4.398,4.299,4.28,4.198,3.793,3.052,3.022,2.972,2.411,2.362,2.345,2.107,1.544,0.947,0.671,0.515,0.326,1186.4
2071,177.18,18.842,14.951,14.144,13.09,11.864,8.409,7.517,7.23,6.688,6.693,6.687,6.578,6.247,4.53,4.446,4.346,4.326,4.243,3.834,3.085,3.054,3.004,2.437,2.387,2.37,2.13,1.56,0.957,0.678,0.52,0.329,1199.5
2072,179.18,19.044,15.06,14.36,13.243,12.042,8.502,7.6,7.31,6.744,6.767,6.77,6.648,6.316,4.581,4.495,4.394,4.374,4.29,3.876,3.119,3.088,3.037,2.464,2.414,2.397,2.154,1.578,0.968,0.686,0.526,0.333,1213.0
2073,181.24,19.252,15.172,14.582,13.401,12.226,8.598,7.686,7.392,6.802,6.844,6.855,6.721,6.387,4.632,4.545,4.443,4.424,4.338,3.92,3.154,3.123,3.071,2.492,2.441,2.424,2.178,1.595,0.979,0.694,0.532,0.337,1227.0
