year,scc_cny_per_tco2,scc_usd_per_tc,gamma_discount
2026,315.12,167.453,0.0545
2027,336.07,178.586,0.0525
2028,356.88,189.648,0.0506
2029,377.49,200.599,0.0489
2030,397.82,211.404,0.0473
2031,353.98,188.103,0.0536
2032,374.74,199.135,0.0517
2033,395.13,209.972,0.0499
2034,415.09,220.579,0.0482
2035,434.56,230.926,0.0467
2036,453.49,240.982,0.0452
2037,471.82,250.725,0.0439
2038,489.52,260.133,0.0427
2039,506.56,269.187,0.0415
2040,522.91,277.877,0.0404
2041,546.42,290.37,0.0387
2042,561.1,298.169,0.0378
2043,575.05,305.584,0.037
2044,588.27,312.605,0.0361
2045,600.72,319.225,0.0354
2046,612.41,325.436,0.0346
2047,623.32,331.233,0.0339
2048,633.44,336.612,0.0333
2049,642.77,341.567,0.0326
2050,651.29,346.097,0.032
